length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,0,0,0,5,13.027131000068039,14.528645599959418,16.530344699975103,None,right,1,1.6439473000355065,16.530344699975103,None,18.19823867017403,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,0,1,1,4,18.7819703000132,20.282992700114846,22.284833200043067,None,right,1,1.1714012001175433,22.284833200043067,None,23.485856469999998,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,0,2,2,6,24.08654910000041,25.587806100025773,27.58954429998994,None,right,1,1.019740500021726,27.58954429998994,None,28.639923470141365,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,0,3,3,3,29.224036199972034,30.725104900076985,32.72658540005796,None,left,1,0.9611370000056922,32.72658540005796,None,33.710852169943976,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,0,4,4,7,34.29497090005316,35.79572600009851,37.79770250013098,None,left,0,0.9506958001293242,37.79770250013098,None,38.76522376998328,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,0,5,5,2,39.34916870016605,40.85005120001733,42.851784399943426,None,left,1,0.8607989000156522,42.851784399943426,None,43.73606207016856,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,0,6,6,1,44.319890200160444,45.820988200139254,47.822704900056124,None,left,1,0.5545351000037044,47.822704900056124,None,48.406334470072764,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,0,7,7,0,48.99031940009445,50.491622700123116,52.493331799982116,None,left,1,0.7549249997828156,52.493331799982116,None,53.27688457006589,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,1,0,8,4,53.87778820004314,55.378821700112894,57.3640467999503,None,right,1,0.7541737998835742,57.3640467999503,None,58.14779186998494,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,1,1,9,3,58.73188800015487,60.233032000018284,62.234430900076404,None,left,1,0.7378273999784142,62.234430900076404,None,63.00213247006759,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,1,2,10,5,63.602325699990615,65.10383990011178,67.0888420001138,None,right,1,1.1027150000445545,67.0888420001138,None,68.20689606997185,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,1,3,11,7,68.79007610003464,70.29112439998426,72.29281829996035,None,right,1,0.9114898999687284,72.29281829996035,None,73.22666747011245,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,1,4,12,0,73.79390210006386,75.29544729995541,77.29689870006405,None,left,1,0.636348000029102,77.29689870006405,None,77.964133870136,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,1,5,13,6,78.54812499997206,80.04939040006138,82.05112170008942,None,right,1,0.9400917999446392,82.05112170008942,None,83.0182500700932,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,1,6,14,2,83.60259749996476,85.10344890016131,87.10535349999554,None,left,1,0.791413500206545,87.10535349999554,None,87.92232407005504,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,1,7,15,1,88.52277510007843,90.0239987000823,92.02550160000101,None,left,1,0.6786038998980075,92.02550160000101,None,92.72655346994289,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,2,0,16,1,93.31006889999844,94.81129899993539,96.81305610015988,None,left,1,0.4752710999455303,96.81305610015988,None,97.3135279701557,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,2,1,17,0,97.897065800149,99.39863030007109,101.40022230008617,None,left,1,0.5059406999498606,101.40022230008617,None,101.93419907013886,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
